experiment,analysis,intercept,logit,hdi95
HH,underweighting,-0.15622440124536555,0.08101581618461959,1
HH,underweighting,0.04984513928055682,0.02905009519551991,1
HH,underweighting,-0.008329735353878326,0.13817042946055896,1
HH,underweighting,-0.1475813513156501,0.2142931057124911,1
HH,underweighting,0.3371763865845591,0.038895920881594485,1
HH,underweighting,-0.11674019646507562,0.20380483166581667,1
HH,underweighting,0.04804797803922988,0.3057782837412363,1
HH,underweighting,-0.0935453453110814,-0.020592077479413495,1
HH,underweighting,-0.29407756326961176,-0.05195635379332097,1
HH,underweighting,0.029663714147018506,0.10032227885051667,1
HH,underweighting,0.26477566263714475,0.05295610168595377,1
HH,underweighting,0.21804842208214525,-0.015064432930103558,1
HH,underweighting,-0.026535806158208046,0.10501843229651736,1
HH,underweighting,0.04923735582700426,0.3041587779327752,1
HH,underweighting,-0.05186165154850425,0.0067684452346226665,1
HH,underweighting,-0.18535775643659905,0.295518797348361,1
HH,underweighting,-0.1245265331575166,0.322596944525329,1
HH,underweighting,0.03750240224743962,0.26643542187303954,1
HH,underweighting,0.1591358919266068,0.46940348342096083,1
HH,underweighting,0.3336460634702041,-0.09781078852420542,1
HH,underweighting,0.20642506446748782,0.02800042781749844,1
HH,underweighting,0.04799502386832695,0.2331538702699185,1
HH,underweighting,-0.005800066223372101,-0.18892483496873144,1
HH,underweighting,-0.05711754667449501,0.24900774990586066,1
HH,underweighting,0.061052673659395346,0.03746982663625766,1
HH,underweighting,0.05781333203038579,0.2732715811389759,1
HH,underweighting,-0.09266783179521142,0.08909300881895173,1
HH,underweighting,-0.10359630742644872,0.1721682683811943,1
HH,underweighting,-0.365806514969224,0.1022798370128839,1
HH,underweighting,0.04998118027630037,0.3490157261460091,1
HH,underweighting,-0.22406643904502682,0.1127711560116433,1
HH,underweighting,-0.2562873567140129,0.27041001769104794,1
HH,underweighting,-0.18772437806968523,0.20591668481944334,1
HH,underweighting,-0.5343885206068817,0.11758481389971168,1
HH,underweighting,-0.24014282851033197,0.1814113855794836,1
HH,underweighting,-0.11357527701541031,0.26136440336725536,1
HH,underweighting,-0.00237694895237731,-0.012891920287787323,1
HH,underweighting,0.01127526075980621,0.23521377409716782,1
HH,underweighting,0.014413455298269701,0.054646098672121224,1
HH,underweighting,0.038339286828688236,0.2943185217848791,1
HH,underweighting,0.03262849378678589,0.2448443280622499,1
HH,underweighting,0.12301679067624748,0.5789063201114634,1
HH,underweighting,-0.1223085648443179,0.3951262230265993,1
HH,underweighting,0.010955027302114112,0.17783350730504707,1
HH,underweighting,0.09830390470635175,0.2804028076687935,1
HH,underweighting,0.03525764108161603,0.2387610651837871,1
HH,underweighting,-0.06906798990317918,0.6299490389618312,1
HH,underweighting,-0.09322617447818006,0.6315839880652836,1
HH,underweighting,0.240600440809413,0.14467859521623316,1
HH,underweighting,0.22387444644608764,0.1982331868745217,1
HH,underweighting,0.26401385829637397,0.15613521648974527,1
HH,underweighting,-0.020175502336473146,0.3378574986837099,1
HH,underweighting,-0.1720440900750383,0.2634158498093871,1
HH,underweighting,-0.10166771903170492,0.16577478688523553,1
HH,underweighting,-0.14225955744898314,0.2314941999199688,1
HH,underweighting,-0.3000811459358349,0.013377816136734354,1
HH,underweighting,-0.16825844834166964,0.5182149386529786,1
HH,underweighting,-0.2774964873212497,-0.0585766323750122,1
HH,underweighting,-0.004785583522795229,0.3134238524111793,1
HH,underweighting,0.13360974605445267,0.11118721217265029,1
HH,underweighting,-0.13945995863077223,0.12021075312130705,1
HH,underweighting,-0.00933255255799563,0.08974775447557864,1
HH,underweighting,-0.10600953165469396,0.09891069316307335,1
HH,underweighting,-0.27747114056391026,-0.021593332392677855,1
